answer | clue
webs | spun world wide?
ae | not œ
labsite | Where the rats are kept
ybn | Hip Hop Group from Alabama
yeast | pizza dough ingredient 
stoic | Unflappable
die | samsies [die]
kauai | Jose's neighbor
fu | __ manchu (lol remember when Joe Flacco had one of these)
omega | a level of mutants in XMen
octene | CH2CHC6H13
ser | ___ o no ___ (hint, this is spanish)
stilleto | heel
atuai | random assortment of letters (sorry...)
camis | spaghetti straps (in school)
koala | animal that fits with theme in [mate]
yoink | only way to get the ball from fenway uncontestedly
bayernfc | bundesliga champs 11 straight years running
shaq | ___ [oneal] (for short)
oneal | [shaq] ___ 
me | who authored this?
mech | kind of eng.
duce | itallian leader
deane | silas ___, usa patriot
edd | dorky main character on cartoon network tv show
rolo | carmel candy josh likes
echo | "what quacks don't do" BUSTED by mythbusters
chaos | What peter likes
ante | blind payment
ontario | triple the size of british colombia
getridof | what we do to bad vibes
bar | B in BR at amazon
alaw | Page 1, section 3: "Your seat is only safe if you quack"
ko | what mac did to sauce (for short)
aones | you guys <3
caw | cry of a common seattle bird
feny | possible nickname for fenway
kste | random assortment of letters (sorry...)
dr | ___ Lederer (in 5 years)
oe | not æ
ore | moon rock
tnt | "Cuz I'm ___" - Bon Scott
tsar | Peter, Ivan, and Cathrine, for example
sc | pic sharing app
lel | douzième lettre de l'alphabet
